datetime,open,high,low,close,volume
2025-06-05 04:00:00,21745.25,21936.25,21503.5,21582.25,0
2025-06-06 04:00:00,21487.5,21880,21471,21789.5,1218834
2025-06-09 04:00:00,21799.25,21892.5,21716.5,21821.5,989760
2025-06-10 04:00:00,21822,21992.25,21732,21962.5,1237939
2025-06-11 04:00:00,21950.75,22094,21790.25,21887.5,1525033
2025-06-12 04:00:00,21871,21977.5,21716.5,21932.5,1242122
2025-06-13 04:00:00,21911,21920,21470.5,21644.25,1677396
2025-06-16 04:00:00,21566.5,21996.5,21505,21941.5,420924
2025-06-17 04:00:00,21934.5,21950,21683.75,21730.5,330355
2025-06-18 04:00:00,21718.75,21872.75,21639.5,21720.25,0
2025-06-19 04:00:00,0,0,0,0,0
2025-06-20 04:00:00,21717,21899,21433.5,21889.890625,2056763
2025-06-23 04:00:00,21648.25,22093,21562,22073.5,1569238
2025-06-24 04:00:00,22077.25,22447.75,22064.5,22412.75,1143081
2025-06-25 04:00:00,22410.75,22548.25,22385,22461,1038793
2025-06-26 04:00:00,22466,22692.75,22438,22461,1013239
2025-06-27 04:00:00,22676.5,22823.75,22600,22751.5,1223538
2025-06-30 04:00:00,22751.25,22934,22750,22893.25,1136495
2025-07-01 04:00:00,22866.75,22915,22593.75,22692.75,1297870
2025-07-02 04:00:00,22696.5,22858.75,22584.75,22843,1006562
2025-07-03 13:30:00,22846.75,23101.25,22827,23062.5,0
2025-07-04 04:00:00,23059,23062.25,22881.25,22904.5,0
2025-07-07 04:00:00,22968.5,23027.25,22780.25,22884.75,1538854
2025-07-08 04:00:00,22840.25,22972,22809.5,22896.75,1091436
2025-07-09 04:00:00,22909,23111.25,22843.25,23052.75,1124401
2025-07-10 04:00:00,23043.25,23089.75,22901,23013.25,1043294
2025-07-11 04:00:00,23010.75,23048.75,22830.75,22959,1201512
2025-07-14 04:00:00,22864.5,23067.75,22802.25,23035.5,1016215
2025-07-15 04:00:00,23036.5,23222.75,22996.25,23056.75,1359771
2025-07-16 04:00:00,23018.75,23100,22835.75,23076.5,1385121
2025-07-17 04:00:00,23069.25,23281,23017,23251,1034301
2025-07-18 04:00:00,23260,23320.5,23170,23224.25,1037669
2025-07-21 04:00:00,23240,23425,23204.5,23342,950184
2025-07-22 04:00:00,23338,23367.75,23105,23226.25,1222714
2025-07-23 04:00:00,23190,23416.5,23142.5,23310.75,1246579
2025-07-24 04:00:00,23401,23425,23298.5,23377.5,1032714
2025-07-25 04:00:00,23391.25,23477,23330.25,23421.25,901587
2025-07-28 04:00:00,23516,23585,23437,23491.25,947135
2025-07-29 04:00:00,23505.25,23652.25,23422,23452,1132932
2025-07-30 04:00:00,23451.5,23688,23355,23480.5,1213505
2025-07-31 04:00:00,23698,23848,23286.5,23365,1745547
2025-08-01 04:00:00,23323.5,23347.5,22788.25,22883.75,1915717
2025-08-04 04:00:00,22850.5,23353.75,22822,23296.5,1216468
2025-08-05 04:00:00,23352.5,23404.25,23082,23132,1524897
2025-08-06 04:00:00,23092,23444.75,23045.25,23422.75,1355010
