datetime,open,high,low,close,volume
2025-06-02 04:00:00,42275,42419,41904,42374,81970
2025-06-03 04:00:00,42375,42637,42115,42598,71271
2025-06-04 04:00:00,42569,42708,42465,42500,64027
2025-06-05 04:00:00,42477,42739,42265,42369,0
2025-06-06 04:00:00,42376,42978,42343,42809,84079
2025-06-09 04:00:00,42830,42935,42599,42796,63941
2025-06-10 04:00:00,42804,42967,42673,42911,69128
2025-06-11 04:00:00,42856,43156,42754,42908,102569
2025-06-12 04:00:00,42898,43002,42587,42990,80160
2025-06-13 04:00:00,42950,42960,42090,42207,144214
2025-06-16 04:00:00,42085,42748,41847,42537,26093
2025-06-17 04:00:00,42581,42587,42149,42228,25873
2025-06-18 04:00:00,42228,42539,42096,42188,0
2025-06-19 04:00:00,0,0,0,0,0
2025-06-20 04:00:00,42185,42377,41755,42356,131074
2025-06-23 04:00:00,42268,42943,42101,42901,119747
2025-06-24 04:00:00,42900,43515,42892,43424,87876
2025-06-25 04:00:00,43409,43467,43175,43306,69166
2025-06-26 04:00:00,43349,43752,43272,43718,67854
2025-06-27 04:00:00,43743,44288,43743,44125,95594
2025-06-30 04:00:00,44203,44442,44186,44389,79152
2025-07-01 04:00:00,44345,44917,44281,44807,95636
2025-07-02 04:00:00,44821,44960,44642,44776,78817
2025-07-03 13:30:00,44788,45178,44747,45098,0
2025-07-04 04:00:00,45105,45106,44790,44840,0
2025-07-07 04:00:00,44906,45133,44429,44677,109833
2025-07-08 04:00:00,44561,44716,44471,44512,81988
2025-07-09 04:00:00,44513,44831,44418,44719,78004
2025-07-10 04:00:00,44730,45042,44564,44908,71388
2025-07-11 04:00:00,44880,44943,44511,44599,81673
2025-07-14 04:00:00,44454,44706,44321,44692,67138
2025-07-15 04:00:00,44660,44829,44175,44247,88438
2025-07-16 04:00:00,44192,44483,43973,44459,110590
2025-07-17 04:00:00,44438,44773,44352,44718,72352
2025-07-18 04:00:00,44727,44860,44424,44540,73188
2025-07-21 04:00:00,44536,44814,44491,44547,71190
2025-07-22 04:00:00,44578,44750,44424,44711,77421
2025-07-23 04:00:00,44720,45233,44718,45214,90496
2025-07-24 04:00:00,45146,45146,44860,44899,75691
2025-07-25 04:00:00,44945,45127,44817,45084,68637
2025-07-28 04:00:00,45229,45314,44911,45012,64914
2025-07-29 04:00:00,45013,45122,44735,44816,82150
2025-07-30 04:00:00,44800,44912,44419,44633,91492
2025-07-31 04:00:00,44711,44852,44207,44305,115391
2025-08-01 04:00:00,44312,44327,43464,43710,144672
2025-08-04 04:00:00,43693,44391,43629,44303,78824
2025-08-05 04:00:00,44374,44433,44040,44236,95584
2025-08-06 04:00:00,44262,44482,44125,44312,84444
2025-08-07 04:00:00,44312,44615,43899,44080,109589
2025-08-08 04:00:00,44125,44385,44084,44278,72626
2025-08-11 04:00:00,44344,44415,44005,44084,74964
2025-08-12 04:00:00,44062,44603,44026,44558,88691
2025-08-13 04:00:00,44566,45069,44505,45025,83156
2025-08-14 04:00:00,45018,45141,44768,44997,85548
2025-08-15 04:00:00,45108,45368,44981,45040,89255
2025-08-18 04:00:00,45016,45115,44900,44986,63308
2025-08-19 04:00:00,44989,45289,44834,44999,81964
2025-08-20 04:00:00,45020,45122,44828,44995,105360
2025-08-21 04:00:00,44984,45028,44642,44854,89392
2025-08-22 04:00:00,44887,45841,44745,45715,105372
2025-08-25 04:00:00,45726,45749,45334,45351,67831
2025-08-26 04:00:00,45383,45539,45184,45489,71348
2025-08-27 04:00:00,45529,45698,45445,45642,59011
2025-08-28 04:00:00,45632,45800,45501,45706,71715
2025-08-29 04:00:00,45667,45688,45433,45601,0
2025-09-02 04:00:00,45652,45748,45002,45351,123251
2025-09-03 04:00:00,45315,45377,45036,45308,82526
2025-09-04 04:00:00,45255,45718,45223,45688,76491
2025-09-05 04:00:00,45695,45832,45257,45459,108994
2025-09-08 04:00:00,45462,45591,45321,45575,74916
2025-09-09 04:00:00,45580,45808,45470,45757,92536
2025-09-10 04:00:00,45700,45892,45415,45540,95339
2025-09-11 04:00:00,45508,46178,45487,46141,98438
2025-09-12 04:00:00,46131,46168,45830,45854,70416
2025-09-15 04:00:00,45857,46010,45796,45921,38655
2025-09-16 04:00:00,45899,45990,45680,45784,17144
2025-09-17 04:00:00,45820,46292,45701,46021,17529
2025-09-18 04:00:00,46057,46379,45959,46168,12194
2025-09-19 04:00:00,46215,46386,46060,46328,80511
2025-09-22 04:00:00,46607,46785,46362,46724,75535
2025-09-23 04:00:00,46706,47056,46546,46637,100363
2025-09-24 04:00:00,46635,46788,46414,46441,79701
2025-09-25 04:00:00,46489,46538,46098,46268,110765
2025-09-26 04:00:00,46276,46666,46233,46556,99693
2025-09-29 04:00:00,46558,46786,46442,46612,80860
2025-09-30 04:00:00,46587,46718,46386,46689,97588
2025-10-01 04:00:00,46597,46816,46336,46725,95064
2025-10-02 04:00:00,46702,46867,46542,46806,88238
2025-10-03 04:00:00,46796,47324,46759,47031,106478
2025-10-06 04:00:00,47034,47162,46694,46958,101289
2025-10-07 04:00:00,46965,47135,46701,46852,107694
2025-10-08 04:00:00,46877,47081,46752,46867,91582
2025-10-09 04:00:00,46879,46937,46507,46593,97045
2025-10-10 04:00:00,46623,46883,45369,45706,229551
2025-10-13 04:00:00,45774,46386,45757,46298,229551
2025-10-14 04:00:00,46291,46743,45662,46500,192925
2025-10-15 04:00:00,46486,46916,46236,46492,155808
2025-10-16 04:00:00,46515,46704,45983,46160,214447
2025-10-17 04:00:00,46144,46519,45609,46381,192830
2025-10-20 04:00:00,46459,46961,46316,46913,88743
2025-10-21 04:00:00,46939,47336,46812,47135,97199
2025-10-22 04:00:00,47116,47203,46645,46782,152970
2025-10-23 04:00:00,46725,46992,46598,46922,98890
2025-10-24 04:00:00,46898,47508,46876,47396,85359
2025-10-27 04:00:00,47670,47773,47547,47712,74678
2025-10-28 04:00:00,47748,48118,47684,47895,92731
2025-10-29 04:00:00,47910,48213,47612,47797,125551
2025-10-30 04:00:00,47691,48180,47548,47677,153576
2025-10-31 04:00:00,47792,47861,47488,47722,108416
2025-11-03 05:00:00,47744,47869,47264,47473,0
2025-11-04 05:00:00,47465,47473,46976,47214,117879
2025-11-05 05:00:00,47298,47582,47071,47436,101867
2025-11-06 05:00:00,47466,47496,46894,47028,125779
2025-11-07 05:00:00,47089,47174,46582,47085,144745
2025-11-10 05:00:00,47206,47511,47030,47462,99056
2025-11-11 05:00:00,47460,48082,47412,48030,96872
2025-11-12 05:00:00,48032,48528,48017,48368,105262
2025-11-13 05:00:00,48380,48503,47500,47547,157680
2025-11-14 05:00:00,47623,47645,46930,47229,178505
2025-11-17 05:00:00,47266,47367,46503,46665,143874
2025-11-18 05:00:00,46709,46757,45988,46184,209720
2025-11-19 05:00:00,46158,46376,45972,46208,150990
2025-11-20 05:00:00,46227,46937,45788,45825,246554
2025-11-21 05:00:00,45835,46655,45773,46321,218202
2025-11-24 05:00:00,46477,46655,46164,46514,119705
2025-11-25 05:00:00,46531,47250,46401,47179,132473
2025-11-26 05:00:00,47190,47631,47172,47490,112435
2025-11-28 14:30:00,47508,47796,47441,47743,38264
2025-12-01 05:00:00,47739,47781,47319,47352,104040
2025-12-02 05:00:00,47344,47669,47267,47544,113528
2025-12-03 05:00:00,47556,48082,47426,47954,117970
2025-12-04 05:00:00,47999,48132,47758,47916,102157
2025-12-05 05:00:00,47894,48184,47818,48001,92353
2025-12-08 05:00:00,48006,48063,47662,47793,71671
2025-12-09 05:00:00,47790,48004,47573,47613,90578
2025-12-10 05:00:00,47580,48246,47504,48107,141166
2025-12-11 05:00:00,48151,48825,47861,48746,135302
2025-12-12 05:00:00,48780,48914,48355,48474,132487
2025-12-15 05:00:00,48520,48747,48305,48461,38599
2025-12-16 05:00:00,48460,48547,47966,48131,26350
2025-12-17 05:00:00,48070,48403,47876,47908,17000
2025-12-18 05:00:00,47938,48390,47818,47988,14585
2025-12-19 05:00:00,47918,48090,47802,48090,80950
2025-12-22 05:00:00,48594,48786,48458,48688,68049
2025-12-23 05:00:00,48688,48853,48532,48762,59524
2025-12-24 14:30:00,48753,49085,48680,49029,39020
2025-12-26 05:00:00,49028,49083,48871,48998,53768
2025-12-29 05:00:00,48998,49053,48665,48749,62417
2025-12-30 05:00:00,48761,48779,48570,48650,51415
2025-12-31 05:00:00,48692,48695,48295,48336,61968
2026-01-02 05:00:00,48360,48652,48089,48616,125005
2026-01-05 05:00:00,48651,49463,48557,49228,114348
2026-01-06 05:00:00,49221,49767,49095,49721,102944
2026-01-07 05:00:00,49752,49879,49177,49239,98963
2026-01-08 05:00:00,49247,49603,49002,49493,121472
2026-01-09 05:00:00,49574,49794,49407,49726,112682
2026-01-12 05:00:00,49721,49856,49213,49809,109350
2026-01-13 05:00:00,49762,49902,49273,49409,139868
2026-01-14 05:00:00,49387,49400,49058,49356,154740
2026-01-15 05:00:00,49303,49792,49253,49639,110023
2026-01-16 05:00:00,49646,49799,49423,49547,101992
2026-01-20 05:00:00,49414,49414,48611,48666,202797
2026-01-21 05:00:00,48730,49484,48488,49265,190414
2026-01-22 05:00:00,49296,49794,49255,49558,122937
2026-01-23 05:00:00,49511,49621,49120,49263,103136
2026-01-26 05:00:00,49042,49644,48838,49565,85121
2026-01-27 05:00:00,49383,49564,49008,49159,98800
2026-01-28 05:00:00,49150,49291,48978,49167,108432
2026-01-29 05:00:00,49135,49443,48721,49170,144220
2026-01-30 05:00:00,49142,49170,48571,49008,132940
2026-02-02 05:00:00,48865,49603,48505,49523,126895
2026-02-03 05:00:00,49484,49767,48934,49350,171629
2026-02-04 05:00:00,49377,49760,49215,49589,177129
2026-02-05 05:00:00,49542,49691,48845,48998,195739
2026-02-06 05:00:00,48878,50263,48702,50205,172951
2026-02-09 05:00:00,50212,50339,49909,50219,102656
2026-02-10 05:00:00,50215,50609,50105,50273,124229
2026-02-11 05:00:00,50283,50587,49978,50205,160435
2026-02-12 05:00:00,50224,50520,49492,49523,199662
2026-02-13 05:00:00,49523,49819,49154,49569,206181
2026-02-17 05:00:00,49537,49819,49240,49612,221908
2026-02-18 05:00:00,49609,49967,49490,49722,133727
2026-02-19 05:00:00,49706,49788,49258,49458,166182
2026-02-20 05:00:00,49470,49771,49203,49674,197846
2026-02-23 05:00:00,49647,49763,48776,48849,183955
2026-02-24 05:00:00,48888,49344,48778,49236,146904
2026-02-25 05:00:00,49238,49580,49127,49534,117281
2026-02-26 05:00:00,49466,49869,49265,49531,156099
2026-02-27 05:00:00,49354,49395,48700,49000,170481
