datetime,open,high,low,close,volume
2025-04-29 04:00:00,4.26,4.38,4.19,4.33,4062774.0
2025-04-30 04:00:00,4.29,4.4199,4.08,4.23,4500452.0
2025-05-01 04:00:00,4.1,4.3,4.085,4.18,4094890.0
2025-05-02 04:00:00,4.24,4.27,4.095,4.11,2942356.0
2025-05-05 04:00:00,4.21,4.35,4.12,4.12,3289728.0
2025-05-06 04:00:00,4.23,4.27,4.1,4.21,3162000.0
2025-05-07 04:00:00,4.1,4.29,3.815,3.91,10263821.0
2025-05-08 04:00:00,4,4.05,3.72,3.76,18871428.0
2025-05-09 04:00:00,3.8,3.89,3.745,3.78,6188134.0
2025-05-12 04:00:00,3.67,3.78,3.37,3.46,11641440.0
2025-05-13 04:00:00,3.48,3.6,3.48,3.5,3678534.0
2025-05-14 04:00:00,3.46,3.545,3.365,3.5,5408632.0
2025-05-15 04:00:00,3.57,3.61,3.4,3.55,4592242.0
2025-05-16 04:00:00,3.45,3.63,3.45,3.6,5919450.0
2025-05-19 04:00:00,3.64,3.7,3.54,3.64,2462434.0
2025-05-20 04:00:00,3.66,3.755,3.635,3.7,3006500.0
2025-05-21 04:00:00,3.68,3.75,3.51,3.59,6704916.0
2025-05-22 04:00:00,3.53,3.695,3.53,3.6,3824827.0
2025-05-23 04:00:00,3.64,3.6679,3.5301,3.58,4006696.0
2025-05-27 04:00:00,3.55,3.565,3.415,3.53,4934213.0
2025-05-28 04:00:00,3.51,3.64,3.51,3.58,3526515.0
2025-05-29 04:00:00,3.63,3.655,3.5335,3.55,3048010.0
2025-05-30 04:00:00,3.51,3.635,3.49,3.58,4288466.0
2025-06-02 04:00:00,3.66,3.8,3.655,3.75,5928985.0
2025-06-03 04:00:00,3.69,3.875,3.64,3.77,5501877.0
2025-06-04 04:00:00,4.08,4.77,3.96,4.69,16316831.0
2025-06-05 04:00:00,4.66,4.85,4.345,4.41,6774130.0
2025-06-06 04:00:00,4.39,4.46,4.14,4.21,5390678.0
2025-06-09 04:00:00,4.22,4.44,4.2,4.38,4425175.0
2025-06-10 04:00:00,4.4,4.56,4.31,4.32,3787503.0
2025-06-11 04:00:00,4.32,4.45,4.27,4.31,3033480.0
2025-06-12 04:00:00,4.39,4.43,4.3,4.34,2797999.0
2025-06-13 04:00:00,4.52,4.58,4.325,4.43,3886329.0
2025-06-16 04:00:00,4.52,4.52,4.32,4.35,2921084.0
2025-06-17 04:00:00,4.36,4.45,4.355,4.39,3185932.0
2025-06-18 04:00:00,4.41,4.46,4.31,4.36,2528868.0
2025-06-20 04:00:00,4.35,4.415,4.12,4.14,3743276.0
2025-06-23 04:00:00,4.11,4.2252,4.05,4.08,3386400.0
