datetime,open,high,low,close,volume
2025-07-31 04:00:00,15.6,17.94,14.7,15.05,1978244.0
2025-08-01 04:00:00,14.12,14.88,13.05,14.25,454231
2025-08-04 04:00:00,14.31,14.65,13.8501,14.27,285289
2025-08-05 04:00:00,14.08,14.48,13.78,14.16,307919
2025-08-06 04:00:00,14.07,14.07,13.01,13.06,224846
2025-08-07 04:00:00,12,13.06,11.75,12.16,334488
2025-08-08 04:00:00,11.98,12.76,11.98,12.41,142198
2025-08-11 04:00:00,12.5,12.8767,11.97,12.15,207684
2025-08-12 04:00:00,11.97,13.17,11.97,13.15,124755
2025-08-13 04:00:00,13.25,13.41,12.584,13.14,102458
2025-08-14 04:00:00,13.25,13.76,13.01,13.76,116321
2025-08-15 04:00:00,14.09,14.185,13.62,14.09,83653
2025-08-18 04:00:00,13.88,14.53,13.5,14.33,99737
2025-08-19 04:00:00,14.35,14.35,12.38,12.44,52233
2025-08-20 04:00:00,12.38,12.69,11.93,12.1,160565
2025-08-21 04:00:00,12.05,12.54,12.03,12.2,32313
2025-08-22 04:00:00,11.96,12.785,11.91,12.71,218718
2025-08-25 04:00:00,13.55,15.49,12.72,15.02,536050
2025-08-26 04:00:00,15.41,15.6988,14.51,14.93,162643
2025-08-27 04:00:00,15.26,15.9699,14.5855,15.77,138453
2025-08-28 04:00:00,16.1,16.25,14.81,14.81,111248
2025-08-29 04:00:00,14.9,15.8,14.82,14.82,91200
2025-09-02 04:00:00,15.35,16.17,15.04,16.02,76220
2025-09-03 04:00:00,16.12,16.2524,14.85,15.04,101103
2025-09-04 04:00:00,15.14,15.7392,14.82,15.26,82543
2025-09-05 04:00:00,15.4,15.42,14.76,14.85,53141
2025-09-08 04:00:00,14.75,16.36,14.5,15.9,206252
2025-09-09 04:00:00,15.68,16.0401,14.51,14.98,265884
2025-09-10 04:00:00,14.81,15.25,12.705,12.74,189396
2025-09-11 04:00:00,13.08,15.29,13,15,212041
2025-09-12 04:00:00,14.85,15.97,14.68,15.71,143494
2025-09-15 04:00:00,15.82,15.83,14.54,14.94,78757
2025-09-16 04:00:00,15.4,15.72,14.855,15.7,172859
2025-09-17 04:00:00,15.7,15.7,14.83,14.84,165362
2025-09-18 04:00:00,14.76,15.3,14.64,14.64,144386
2025-09-19 04:00:00,14.6,15.04,14.42,14.42,845144
2025-09-22 04:00:00,14.42,15,13.9,14.08,130106
2025-09-23 04:00:00,13.99,14.49,13.36,13.38,110311
2025-09-24 04:00:00,13.38,13.65,12.68,12.89,114463
2025-09-25 04:00:00,12.89,13.16,12.35,12.5,55447
2025-09-26 04:00:00,12.53,12.855,12.09,12.1,118816
2025-09-29 04:00:00,12.18,12.81,12.02,12.56,67717
2025-09-30 04:00:00,12.61,12.708,12.36,12.55,73884
2025-10-01 04:00:00,12.59,12.85,12,12.02,63628
2025-10-02 04:00:00,12,12.3006,11.5056,12.01,99067
2025-10-03 04:00:00,11.99,12.2786,11.53,12.19,114258
2025-10-06 04:00:00,12.33,13.7,12.2,13.08,74073
2025-10-07 04:00:00,13,13.34,12.835,13.1,71575
2025-10-08 04:00:00,12.81,13.265,12.5401,13.01,48183
