symbol,direction,entry,sl,tp1,pred,actual,hour
MES.F,long,7068.5,7048.5,7128.5,7102.7138,7068.5,2026-04-17 03:00
MES.F,long,7069.5,7049.5,7129.5,7102.9588,7069.5,2026-04-17 04:00
MES.F,long,7056.25,7036.25,7116.25,7103.578,7056.25,2026-04-17 05:00
MES.F,long,7060.5,7040.5,7120.5,7098.2552,7060.5,2026-04-17 06:00
MES.F,long,7083.75,7063.75,7143.75,7096.8269,7083.75,2026-04-17 07:00
MES.F,long,7069.25,7049.25,7129.25,7106.0331,7069.25,2026-04-17 08:00
MES.F,long,7067.75,7047.75,7127.75,7105.5234,7067.75,2026-04-17 09:00
MES.F,long,7068.5,7048.5,7128.5,7104.673,7068.5,2026-04-17 10:00
MES.F,long,7076.5,7056.5,7136.5,7104.3309,7076.5,2026-04-17 11:00
MES.F,long,7078.5,7058.5,7138.5,7107.5324,7078.5,2026-04-17 12:00
MES.F,long,7082.0,7062.0,7142.0,7110.3732,7082.0,2026-04-17 13:00
MES.F,long,7083.5,7063.5,7143.5,7113.6726,7083.5,2026-04-17 14:00
MES.F,long,7082.5,7062.5,7142.5,7116.3252,7082.5,2026-04-17 15:00
MES.F,long,7083.25,7063.25,7143.25,7117.4747,7083.25,2026-04-17 16:00
MES.F,long,7078.5,7058.5,7138.5,7118.4337,7078.5,2026-04-17 17:00
MES.F,long,7078.25,7058.25,7138.25,7116.8846,7078.25,2026-04-17 18:00
MES.F,long,7079.25,7059.25,7139.25,7115.7654,7079.25,2026-04-17 19:00
MES.F,long,7081.25,7061.25,7141.25,7115.4553,7081.25,2026-04-17 20:00
MES.F,long,7079.75,7059.75,7139.75,7116.1349,7079.75,2026-04-19 22:00
MES.F,long,7086.5,7066.5,7146.5,7115.93,7086.5,2026-04-19 23:00
MES.F,long,7090.5,7070.5,7150.5,7118.7556,7090.5,2026-04-20 00:00
MES.F,long,7093.25,7073.25,7153.25,7122.2291,7093.25,2026-04-20 01:00
MES.F,long,7091.75,7071.75,7151.75,7125.5844,7091.75,2026-04-20 02:00
