symbol,direction,entry,sl,tp1,pnl,date
MES.F,long,6829.5,6809.5,6889.5,600.0,2026-01-13
MES.F,short,7008.5,7028.5,6948.5,600.0,2026-01-21
MES.F,short,6877.0,6897.0,6817.0,600.0,2026-02-12
MES.F,short,6923.25,6943.25,6863.25,600.0,2026-02-13
MES.F,short,6851.5,6871.5,6791.5,600.0,2026-02-17
MES.F,short,6903.75,6923.75,6843.75,600.0,2026-02-18
MES.F,short,6959.75,6979.75,6899.75,600.0,2026-02-19
MES.F,short,6920.0,6940.0,6860.0,600.0,2026-02-20
MES.F,short,6889.0,6909.0,6829.0,600.0,2026-02-23
MES.F,short,6888.25,6908.25,6828.25,600.0,2026-02-24
MES.F,short,6876.0,6896.0,6816.0,600.0,2026-02-26
MES.F,short,6835.25,6855.25,6775.25,600.0,2026-02-27
MES.F,short,6801.0,6821.0,6741.0,600.0,2026-03-03
MES.F,short,6787.25,6807.25,6727.25,600.0,2026-03-04
MES.F,short,6779.5,6799.5,6719.5,600.0,2026-03-05
MES.F,short,6704.75,6724.75,6644.75,600.0,2026-03-10
MES.F,short,6721.75,6741.75,6661.75,600.0,2026-03-11
MES.F,short,6634.75,6654.75,6574.75,600.0,2026-03-17
MES.F,short,6606.0,6626.0,6546.0,600.0,2026-03-18
MES.F,short,6640.75,6660.75,6580.75,600.0,2026-03-19
MES.F,short,6570.75,6590.75,6510.75,600.0,2026-03-25
MES.F,short,6617.75,6637.75,6557.75,600.0,2026-03-26
MES.F,short,6622.25,6642.25,6562.25,600.0,2026-03-27
MES.F,short,6651.0,6671.0,6591.0,600.0,2026-03-30
MES.F,short,6656.75,6676.75,6596.75,600.0,2026-03-31
MES.F,short,6823.75,6843.75,6763.75,600.0,2026-04-01
MES.F,short,6863.25,6883.25,6803.25,600.0,2026-04-02
MES.F,short,6855.25,6875.25,6795.25,600.0,2026-04-06
MES.F,short,6922.75,6942.75,6862.75,600.0,2026-04-07
MES.F,short,7004.75,7024.75,6944.75,600.0,2026-04-08
MES.F,short,7060.5,7080.5,7000.5,600.0,2026-04-09
MNQ.F,long,25213.5,25163.5,25363.5,600.0,2025-12-08
MNQ.F,long,25093.25,25043.25,25243.25,600.0,2025-12-09
MNQ.F,long,24668.75,24618.75,24818.75,600.0,2025-12-11
MNQ.F,short,25812.25,25862.25,25662.25,600.0,2025-12-17
MNQ.F,short,25880.5,25930.5,25730.5,600.0,2025-12-18
MNQ.F,short,25863.25,25913.25,25713.25,600.0,2025-12-19
MNQ.F,short,25739.75,25789.75,25589.75,600.0,2025-12-22
MNQ.F,long,25129.25,25079.25,25279.25,600.0,2026-01-13
MNQ.F,short,26073.0,26123.0,25923.0,600.0,2026-01-21
MNQ.F,long,25452.0,25402.0,25602.0,600.0,2026-01-28
MNQ.F,long,24999.25,24949.25,25149.25,600.0,2026-01-29
MNQ.F,long,24651.0,24601.0,24801.0,600.0,2026-01-30
MNQ.F,short,25067.5,25117.5,24917.5,600.0,2026-02-13
MNQ.F,short,25382.0,25432.0,25232.0,600.0,2026-02-19
MNQ.F,short,25128.25,25178.25,24978.25,600.0,2026-02-26
MNQ.F,short,24194.75,24244.75,24044.75,600.0,2026-03-26
MNQ.F,short,24218.0,24268.0,24068.0,600.0,2026-03-27
MNQ.F,short,24358.5,24408.5,24208.5,600.0,2026-03-30
MNQ.F,short,24371.0,24421.0,24221.0,600.0,2026-03-31
MNQ.F,short,25074.25,25124.25,24924.25,600.0,2026-04-01
MNQ.F,short,25251.5,25301.5,25101.5,600.0,2026-04-02
MNQ.F,short,25281.25,25331.25,25131.25,600.0,2026-04-06
MNQ.F,short,25543.5,25593.5,25393.5,600.0,2026-04-07
MNQ.F,short,25996.75,26046.75,25846.75,600.0,2026-04-08
MNQ.F,short,26365.5,26415.5,26215.5,600.0,2026-04-09
M2K.F,long,2586.8,2566.8,2646.8,600.0,2026-01-30
M2K.F,long,2526.7,2506.7,2586.7,600.0,2026-03-02
M2K.F,short,2505.0,2525.0,2445.0,600.0,2026-03-10
M2K.F,short,2520.2,2540.2,2460.2,600.0,2026-03-11
M2K.F,short,2495.6001,2515.6001,2435.6001,600.0,2026-03-13
M2K.F,short,2496.3999,2516.3999,2436.3999,600.0,2026-03-16
M2K.F,short,2509.6001,2529.6001,2449.6001,600.0,2026-03-17
M2K.F,short,2522.3,2542.3,2462.3,600.0,2026-03-18
M2K.F,short,2551.8,2571.8,2491.8,600.0,2026-03-19
M2K.F,short,2512.2,2532.2,2452.2,600.0,2026-03-25
M2K.F,short,2526.7,2546.7,2466.7,600.0,2026-03-26
M2K.F,short,2544.0,2564.0,2484.0,600.0,2026-03-27
M2K.F,short,2554.8,2574.8,2494.8,600.0,2026-03-30
M2K.F,short,2560.1001,2580.1001,2500.1001,600.0,2026-03-31
M2K.F,short,2635.7,2655.7,2575.7,600.0,2026-04-01
M2K.F,short,2651.6001,2671.6001,2591.6001,600.0,2026-04-02
M2K.F,short,2644.3999,2664.3999,2584.3999,600.0,2026-04-06
M2K.F,short,2682.3,2702.3,2622.3,600.0,2026-04-07
M2K.F,short,2718.1001,2738.1001,2658.1001,600.0,2026-04-08
M6E.F,long,1.1686,1.1606,1.1926,600.0,2026-01-02
M6E.F,long,1.167,1.159,1.191,600.0,2026-01-05
M6E.F,long,1.1627,1.1547,1.1867,600.0,2026-01-12
M6E.F,short,1.1721,1.1801,1.1481,600.0,2026-01-14
M6E.F,short,1.1773,1.1853,1.1533,600.0,2026-01-15
M6E.F,short,1.184,1.192,1.16,600.0,2026-01-16
M6E.F,short,1.1907,1.1987,1.1667,600.0,2026-01-20
M6E.F,short,1.2005,1.2085,1.1765,600.0,2026-01-21
M6E.F,short,1.1967,1.2047,1.1727,600.0,2026-01-22
M6E.F,long,1.172,1.164,1.196,600.0,2026-02-24
M6E.F,long,1.162,1.154,1.186,600.0,2026-02-25
M6E.F,long,1.1646,1.1566,1.1886,600.0,2026-02-26
M6E.F,long,1.1577,1.1497,1.1817,600.0,2026-02-27
M6E.F,short,1.1589,1.1669,1.1349,600.0,2026-03-11
M6E.F,short,1.1629,1.1709,1.1389,600.0,2026-03-13
M6E.F,short,1.1597,1.1677,1.1357,600.0,2026-03-16
M6E.F,short,1.1682,1.1762,1.1442,600.0,2026-03-17
M6E.F,short,1.1627,1.1707,1.1387,600.0,2026-03-18
M6E.F,short,1.1617,1.1697,1.1377,600.0,2026-03-26
M6E.F,short,1.1611,1.1691,1.1371,600.0,2026-03-31
M6E.F,short,1.1688,1.1768,1.1448,600.0,2026-04-01
M6E.F,short,1.1736,1.1816,1.1496,600.0,2026-04-02
M6E.F,short,1.1766,1.1846,1.1526,600.0,2026-04-06
M6E.F,short,1.18,1.188,1.156,600.0,2026-04-07
M6E.F,short,1.1828,1.1908,1.1588,600.0,2026-04-08
M6E.F,short,1.1835,1.1915,1.1595,600.0,2026-04-09
M6A.F,long,0.6653,0.6553,0.6953,600.0,2025-12-08
M6A.F,long,0.6648,0.6548,0.6948,600.0,2025-12-09
M6A.F,long,0.6638,0.6538,0.6938,600.0,2025-12-10
M6A.F,long,0.6606,0.6506,0.6906,600.0,2025-12-11
M6A.F,long,0.6615,0.6515,0.6915,600.0,2025-12-12
M6A.F,long,0.662,0.652,0.692,600.0,2025-12-15
M6A.F,long,0.6698,0.6598,0.6998,600.0,2025-12-22
M6A.F,long,0.6697,0.6597,0.6997,600.0,2025-12-23
M6A.F,long,0.6673,0.6573,0.6973,600.0,2025-12-24
M6A.F,long,0.669,0.659,0.699,600.0,2025-12-26
M6A.F,long,0.6729,0.6629,0.7029,600.0,2025-12-31
M6A.F,long,0.6694,0.6594,0.6994,600.0,2026-01-02
M6A.F,long,0.6688,0.6588,0.6988,600.0,2026-01-05
M6A.F,long,0.6682,0.6582,0.6982,600.0,2026-01-07
M6A.F,long,0.6681,0.6581,0.6981,600.0,2026-01-08
M6A.F,long,0.6684,0.6584,0.6984,600.0,2026-01-12
M6A.F,long,0.6972,0.6872,0.7272,600.0,2026-01-26
M6A.F,long,0.6945,0.6845,0.7245,600.0,2026-01-27
M6A.F,long,0.6959,0.6859,0.7259,600.0,2026-01-30
M6A.F,long,0.7037,0.6937,0.7337,600.0,2026-02-11
M6A.F,long,0.7043,0.6943,0.7343,600.0,2026-02-25
M6A.F,long,0.6981,0.6881,0.7281,600.0,2026-02-27
M6A.F,long,0.708,0.698,0.738,600.0,2026-03-06
M6A.F,long,0.7004,0.6904,0.7304,600.0,2026-03-09
M6A.F,long,0.7002,0.6902,0.7302,600.0,2026-03-16
M6A.F,long,0.6959,0.6859,0.7259,600.0,2026-03-18
M6A.F,long,0.6943,0.6843,0.7243,600.0,2026-03-19
M6A.F,long,0.6886,0.6786,0.7186,600.0,2026-03-20
M6A.F,long,0.6865,0.6765,0.7165,600.0,2026-03-23
M6A.F,long,0.6845,0.6745,0.7145,600.0,2026-03-24
M6A.F,short,0.7025,0.7125,0.6725,600.0,2026-04-01
M6A.F,short,0.7072,0.7172,0.6772,600.0,2026-04-02
M6A.F,short,0.7073,0.7173,0.6773,600.0,2026-04-06
