date,symbol,direction,entry,exit,pnl,killzone
2026-02-25 12:45:00,MES.F,Long,6905.5000,6926.2500,600,London
2026-02-25 16:15:00,MES.F,Long,6923.5000,6943.5000,600,NY
2026-02-26 15:00:00,MES.F,Long,6953.5000,6913.2500,-200,London
2026-02-27 11:30:00,MES.F,Long,6902.7500,6881.2500,-200,London
2026-03-04 09:30:00,MES.F,Long,6797.2500,6818.2500,600,London
2026-03-04 14:30:00,MES.F,Long,6849.5000,6823.7500,-200,NY
2026-03-05 09:00:00,MES.F,Long,6862.5000,6887.5000,600,London
2026-03-06 09:15:00,MES.F,Long,6841.5000,6813.7500,-200,London
2026-03-06 15:30:00,MES.F,Short,6743.2500,6765.5000,-200,NY
2026-03-10 07:45:00,MES.F,Long,6798.5000,6819.2500,600,London
2026-03-10 11:30:00,MES.F,Long,6819.2500,6791.0000,-200,London
2026-03-11 15:15:00,MES.F,Long,6790.2500,6763.2500,-200,NY
2026-03-12 09:30:00,MES.F,Long,6734.2500,6755.2500,600,London
2026-03-17 07:30:00,MES.F,Long,6681.0000,6729.2500,600,London
2026-03-17 12:00:00,MES.F,Long,6729.2500,6760.2500,600,London
2026-03-18 12:00:00,MES.F,Long,6809.0000,6779.2500,-200,London
2026-03-18 14:15:00,MES.F,Short,6750.2500,6721.7500,600,NY
2026-03-20 09:15:00,MES.F,Long,6671.0000,6648.2500,-200,London
2026-03-20 18:15:00,MES.F,Short,6594.0000,6570.2500,600,NY
2026-03-24 08:15:00,MES.F,Long,6648.5000,6627.0000,-200,London
2026-03-25 08:00:00,MES.F,Long,6650.7500,6673.0000,600,London
2026-03-26 16:15:00,MES.F,Long,6603.2500,6566.7500,-200,NY
2026-03-27 17:15:00,MES.F,Short,6458.7500,6434.2500,600,NY
2026-03-31 10:30:00,MES.F,Long,6446.7500,6425.5000,-200,London
2026-03-31 13:45:00,MES.F,Long,6460.0000,6494.5000,600,NY
2026-04-01 08:00:00,MES.F,Long,6616.7500,6592.5000,-200,London
2026-04-02 11:15:00,MES.F,Long,6540.0000,6517.7500,-200,London
2026-04-07 08:15:00,MES.F,Long,6627.0000,6648.0000,600,London
2026-04-08 14:30:00,MES.F,Long,6826.0000,6799.5000,-200,London
2026-04-09 15:30:00,MES.F,Long,6806.0000,6838.5000,600,London
2026-04-10 14:15:00,MES.F,Long,6857.2500,6877.5000,600,London
